r h1 h2
3.0700000000 0.0054306628 0.0024611333
3.0800000000 0.0047185806 0.0024216600
3.0900000000 0.0052582134 0.0016420361
3.1000000000 0.0057253911 0.0011731738
3.1100000000 0.0068927986 0.0016021447
3.1200000000 0.0069308401 0.0027289742
3.1300000000 0.0067523902 0.0017693297
3.1400000000 0.0073881464 0.0037583020
3.1500000000 0.0073963466 0.0037291985
3.1600000000 0.0070094174 0.0033097899
3.1700000000 0.0059455573 0.0030063694
3.1800000000 0.0074200075 0.0031740545
3.1900000000 0.0076470237 0.0031612005
3.2000000000 0.0084632410 0.0037955578
3.2100000000 0.0080994659 0.0043045385
3.2200000000 0.0073394275 0.0036571962
3.2300000000 0.0085017955 0.0039629528
3.2400000000 0.0080317831 0.0035353246
3.2500000000 0.0087184256 0.0034190549
3.2600000000 0.0082527313 0.0036386179
3.2700000000 0.0087854821 0.0032101515
3.2800000000 0.0090164951 0.0036936398
3.2900000000 0.0090944107 0.0041667967
3.3000000000 0.0092273693 0.0049295731
3.3100000000 0.0106919791 0.0040554370
3.3200000000 0.0113960437 0.0040605612
3.3300000000 0.0117282457 0.0038943803
3.3400000000 0.0115715378 0.0033098844
3.3500000000 0.0120385846 0.0021873151
3.3600000000 0.0123257494 0.0021928969
3.3700000000 0.0123600270 0.0024465278
3.3800000000 0.0128833832 0.0033280750
3.3900000000 0.0125594337 0.0022698696
3.4000000000 0.0122755984 0.0027560852
3.4100000000 0.0132313807 0.0016444056
3.4200000000 0.0138403844 0.0013564134
3.4300000000 0.0133366780 0.0018851778
3.4400000000 0.0130626101 0.0024324612
3.4500000000 0.0136603393 0.0014167136
3.4600000000 0.0131308792 0.0022278470
3.4700000000 0.0142925816 0.0024003004
3.4800000000 0.0144161511 0.0021947237
3.4900000000 0.0135077949 0.0035997846
3.5000000000 0.0138037386 0.0024451312
3.5100000000 0.0147211614 0.0012177169
3.5200000000 0.0148322950 0.0018127715
3.5300000000 0.0141015705 0.0020243957
3.5400000000 0.0143047553 0.0027612502
3.5500000000 0.0145817343 0.0027426053
3.5600000000 0.0158888105 0.0027645884
3.5700000000 0.0150801752 0.0030595461
3.5800000000 0.0156957213 0.0020760916
3.5900000000 0.0166005448 0.0020639644
3.6000000000 0.0154698825 0.0026304388
3.6100000000 0.0162092859 0.0022117698
3.6200000000 0.0169764218 0.0008728436
3.6300000000 0.0176971721 0.0015053418
3.6400000000 0.0170572017 0.0014595435
3.6500000000 0.0174999826 0.0022272180
3.6600000000 0.0169619557 0.0019227874
3.6700000000 0.0178342211 0.0020996353
3.6800000000 0.0168441136 0.0012061944
3.6900000000 0.0177582143 0.0010012373
3.7000000000 0.0178630938 0.0010430896
3.7100000000 0.0172753355 0.0000566878
3.7200000000 0.0176210542 0.0005807975
3.7300000000 0.0186091633 -0.0005821866
3.7400000000 0.0182292603 -0.0002098641
3.7500000000 0.0178057501 0.0007955195
3.7600000000 0.0171645694 0.0001570290
3.7700000000 0.0173132477 -0.0000265709
3.7800000000 0.0174640192 0.0001471086
3.7900000000 0.0174590567 0.0006287801
3.8000000000 0.0169223457 0.0008573289
3.8100000000 0.0173580179 0.0003300637
3.8200000000 0.0183095056 0.0009431990
3.8300000000 0.0184782798 0.0009933657
3.8400000000 0.0180961577 0.0012251378
3.8500000000 0.0179593563 0.0007795402
3.8600000000 0.0180605905 0.0004163171
3.8700000000 0.0178268152 -0.0003791564
3.8800000000 0.0176897965 -0.0006874861
3.8900000000 0.0184027149 -0.0013006095
3.9000000000 0.0186849364 -0.0010760537
3.9100000000 0.0178848613 -0.0004999359
3.9200000000 0.0184814779 -0.0011215505
3.9300000000 0.0186142656 -0.0007886992
3.9400000000 0.0178674030 -0.0007304283
3.9500000000 0.0184229596 -0.0022094813
3.9600000000 0.0177412587 -0.0021400874
3.9700000000 0.0171456274 -0.0025795317
3.9800000000 0.0173368528 -0.0025948887
3.9900000000 0.0174215845 -0.0019040499
4.0000000000 0.0170501364 -0.0022611756
4.0100000000 0.0168904102 -0.0023713324
4.0200000000 0.0159244884 -0.0012638347
4.0300000000 0.0155315456 -0.0008311342
4.0400000000 0.0161812181 -0.0006117516
4.0500000000 0.0162781541 -0.0007308031
4.0600000000 0.0156310186 -0.0009911337
4.0700000000 0.0150324763 -0.0008288391
4.0800000000 0.0145462449 -0.0015946042
4.0900000000 0.0150594764 -0.0011788879
4.1000000000 0.0141173728 -0.0008089958
4.1100000000 0.0149963339 -0.0012681303
4.1200000000 0.0141651070 -0.0014881212
4.1300000000 0.0138569290 -0.0019481464
4.1400000000 0.0141076780 -0.0024925733
4.1500000000 0.0129183939 -0.0017925178
4.1600000000 0.0134723468 -0.0016053082
4.1700000000 0.0132422656 -0.0009693524
4.1800000000 0.0143143172 -0.0011587158
4.1900000000 0.0134504798 -0.0007466815
4.2000000000 0.0124380442 -0.0009462488
4.2100000000 0.0117887434 -0.0009359657
4.2200000000 0.0110674817 -0.0015622911
4.2300000000 0.0120303618 -0.0008046730
4.2400000000 0.0118442607 -0.0002195138
4.2500000000 0.0115520552 -0.0019418850
4.2600000000 0.0107443367 -0.0031734916
4.2700000000 0.0099323149 -0.0024483682
4.2800000000 0.0112518481 -0.0015982926
4.2900000000 0.0100720112 -0.0009450561
4.3000000000 0.0095226665 -0.0009939016
4.3100000000 0.0086850683 -0.0011212958
4.3200000000 0.0085173207 -0.0020058756
