x z1 z2 p1 p2 r1 r2
1.2300000000 -0.0435828400 0.0638866659 0.6517595466 0.1951453316 3.8388368489 0.3702832350
1.2400000000 -0.0231315026 0.0823097780 0.7251280942 0.2010382211 3.8117437866 0.3402874362
1.2500000000 -0.0065249444 0.0952174218 0.7980599369 0.2049683069 3.8040907335 0.3304533780
1.2600000000 -0.0008908371 0.1016097328 0.9078288183 0.2225255592 3.8720238190 0.3924324629
1.2700000000 -0.0022526482 0.1043658996 1.0493912720 0.2492394093 3.9217244499 0.4318352411
1.2800000000 -0.0352921089 0.0894221672 1.1696135423 0.2678053976 3.8734615212 0.3753297168
1.2900000000 -0.1038321904 0.0567931763 1.2172602645 0.2628226096 3.7851103409 0.2836373083
1.3000000000 -0.1637549511 0.0331546865 1.2048329394 0.2437760761 3.6712243160 0.1723616337
1.3100000000 -0.2076694737 0.0180273659 1.1951271181 0.2312394097 3.5457120223 0.0568172788
1.3200000000 -0.2513204497 0.0014573268 1.1999887227 0.2251078917 3.4376320332 -0.0351605425
1.3300000000 -0.2946964060 -0.0166872800 1.1831443741 0.2102568718 3.3124911256 -0.1375551536
1.3400000000 -0.3381567906 -0.0359452570 1.1347064742 0.1855831425 3.1720798064 -0.2472848308
1.3500000000 -0.3577292373 -0.0419736735 1.0777305973 0.1592059441 3.0566759574 -0.3257362283
1.3600000000 -0.3598046201 -0.0409195078 1.0146716424 0.1307986015 2.9826166872 -0.3592728901
1.3700000000 -0.3843017719 -0.0555095502 0.9439392255 0.0993124970 2.8955533603 -0.4027881692
1.3800000000 -0.4105683036 -0.0693489598 0.9157790712 0.0832953167 2.7310321741 -0.5165381670
1.3900000000 -0.4352850152 -0.0826372417 0.9464985938 0.0840931377 2.5601854108 -0.6282544958
1.4000000000 -0.4752651140 -0.1039945546 0.9374125845 0.0659191323 2.4661554929 -0.6598843321
1.4100000000 -0.5233256715 -0.1288758374 0.8791163012 0.0334864413 2.3929339146 -0.6700212211
1.4200000000 -0.5778563436 -0.1561390024 0.7958954493 -0.0050713780 2.3811677665 -0.6202082839
1.4300000000 -0.6494711861 -0.1928464892 0.6889885901 -0.0485423083 2.4161685560 -0.5303458397
1.4400000000 -0.7378684730 -0.2373794728 0.6005504101 -0.0832998558 2.4693123066 -0.4287735687
1.4500000000 -0.8098177709 -0.2705149604 0.5578566583 -0.1021379935 2.6290874845 -0.2335145240
1.4600000000 -0.8666069543 -0.2962571687 0.5463929929 -0.1127517747 2.7898013425 -0.0521858563
1.4700000000 -0.9078265715 -0.3141106880 0.5239341916 -0.1287310256 2.9235020083 0.0907916511
1.4800000000 -0.9186837952 -0.3162225693 0.4925233974 -0.1459043514 3.0165095223 0.1826389598
1.4900000000 -0.8991406985 -0.3031917484 0.4578350973 -0.1621559176 3.0974992773 0.2555113938
1.5000000000 -0.8764873159 -0.2915092114 0.4132622379 -0.1793032110 3.2336537713 0.3728709045
1.5100000000 -0.8667420392 -0.2870822185 0.4118658497 -0.1776375791 3.3039566589 0.4174116802
1.5200000000 -0.8561581365 -0.2800980234 0.4777384604 -0.1530464003 3.2983324387 0.3855468374
1.5300000000 -0.8639290071 -0.2824161048 0.5696823355 -0.1211319287 3.2288188159 0.2928488372
1.5400000000 -0.8704405697 -0.2798781877 0.6183907381 -0.1047221420 3.1125267626 0.1610546514
1.5500000000 -0.8617760153 -0.2674318221 0.5931637197 -0.1087379650 2.9657127628 0.0079076026
1.5600000000 -0.8941151626 -0.2792381071 0.5445782255 -0.1132394893 2.8268307263 -0.1267753915
1.5700000000 -0.9543231557 -0.3026835872 0.5800391525 -0.0826323760 2.7106125988 -0.2306386250
1.5800000000 -0.9958239965 -0.3121487324 0.6925717345 -0.0294672422 2.5832826589 -0.3362209428
1.5900000000 -1.0057082466 -0.3035506167 0.7353690817 -0.0055014783 2.4774567831 -0.4123946706
1.6000000000 -1.0055233576 -0.2927764906 0.7063012770 -0.0014996627 2.3631391043 -0.4897149728
1.6100000000 -0.9990123760 -0.2799212916 0.7167744537 0.0219824221 2.2203313958 -0.5866557126
1.6200000000 -1.0033541437 -0.2760888036 0.7479551508 0.0502336018 2.0205771172 -0.7297528887
1.6300000000 -1.0388719236 -0.2899198640 0.7688494684 0.0739570358 1.8644992861 -0.8192693754
1.6400000000 -1.0753194519 -0.3022582475 0.7797715796 0.0926006686 1.7997939652 -0.8154849335
1.6500000000 -1.0747313246 -0.2924031234 0.7695273749 0.1035563957 1.7833319068 -0.7640533469
1.6600000000 -1.0447315493 -0.2695050086 0.7172936804 0.0984869311 1.7743053459 -0.7083606023
1.6700000000 -1.0080740633 -0.2462654278 0.6105989976 0.0752609857 1.7393791114 -0.6799233008
1.6800000000 -0.9838321579 -0.2330507981 0.5161333530 0.0576465367 1.6954612842 -0.6624130192
1.6900000000 -0.9969855195 -0.2415439516 0.4381268112 0.0415218280 1.6539820230 -0.6442892306
1.7000000000 -1.0074022808 -0.2449868314 0.3533523350 0.0189708040 1.6515896231 -0.5914902614
1.7100000000 -0.9804014896 -0.2265970939 0.3171313812 0.0106222418 1.6116815854 -0.5797398623
1.7200000000 -0.9492184858 -0.2093442085 0.2972922188 0.0005471138 1.5172141071 -0.6216648652
1.7300000000 -0.9117711402 -0.1893763007 0.2747147040 -0.0132028342 1.4988352616 -0.5900839199
1.7400000000 -0.8469771454 -0.1551575821 0.2751487962 -0.0217785411 1.5564242181 -0.4907102510
1.7500000000 -0.7807130379 -0.1230213101 0.2924611529 -0.0264792928 1.6059298224 -0.4068397256
1.7600000000 -0.7291966716 -0.1002413732 0.3118513059 -0.0328433617 1.6219431765 -0.3617768561
1.7700000000 -0.6904198736 -0.0840242235 0.3347623354 -0.0375551254 1.5978617313 -0.3594180625
1.7800000000 -0.6620503642 -0.0724649785 0.3794498224 -0.0346810012 1.5435038881 -0.3877102207
1.7900000000 -0.6243250946 -0.0539129628 0.4455850595 -0.0242140219 1.4682627637 -0.4356221522
1.8000000000 -0.6028453751 -0.0463349430 0.5003859789 -0.0185191278 1.3843056638 -0.4899260607
1.8100000000 -0.5987040474 -0.0471403197 0.5620251730 -0.0069952560 1.2669843081 -0.5735294591
1.8200000000 -0.6165578106 -0.0609724575 0.6575695147 0.0172575131 1.0927380935 -0.7061411782
1.8300000000 -0.6578197477 -0.0862048433 0.7901646752 0.0555875788 0.8533535817 -0.8923305571
1.8400000000 -0.7038032968 -0.1136494798 0.9699027637 0.1098868394 0.6272888874 -1.0528940286
1.8500000000 -0.7579162126 -0.1459319703 1.1538903520 0.1648930271 0.4212086203 -1.1841014688
1.8600000000 -0.8121032035 -0.1792904153 1.3476099832 0.2259657718 0.2400331337 -1.2811477276
1.8700000000 -0.8757150743 -0.2199160806 1.5325401380 0.2850325827 0.1238542355 -1.3091660908
1.8800000000 -0.9358700916 -0.2592170086 1.6269342053 0.3148793353 0.0476727050 -1.2956871684
1.8900000000 -0.9746308423 -0.2879297480 1.5972073026 0.3081998776 -0.0114568245 -1.2658935020
1.9000000000 -0.9978808281 -0.3107148944 1.5207566792 0.2948536815 -0.0568847752 -1.2239535762
1.9100000000 -1.0131577202 -0.3314903999 1.4361609244 0.2806573404 -0.0814601117 -1.1649441214
1.9200000000 -1.0157768983 -0.3462466708 1.3504652991 0.2656666533 -0.0970162005 -1.1014124294
1.9300000000 -1.0184813999 -0.3625276057 1.3080799472 0.2621151794 -0.0695755285 -1.0018277403
1.9400000000 -1.0128193741 -0.3727859096 1.2318663772 0.2383489768 -0.0605118795 -0.9280189249
1.9500000000 -0.9926253150 -0.3745029782 1.1053163974 0.1953677155 -0.0809409452 -0.8879554426
1.9600000000 -0.9665731969 -0.3719765790 1.0080044745 0.1610755870 -0.0431326559 -0.7971363944
1.9700000000 -0.9533029191 -0.3762590031 0.9458393218 0.1336227096 0.0398583044 -0.6715209341
1.9800000000 -0.9585451337 -0.3877307686 0.9221835978 0.1140554935 0.1200599069 -0.5586451466
1.9900000000 -0.9663574103 -0.3969141570 0.9231403087 0.0967682562 0.1789694391 -0.4752926497
2.0000000000 -0.9466140271 -0.3863389151 0.8959929925 0.0652484060 0.2149421677 -0.4212105564
2.0100000000 -0.9271838090 -0.3771412558 0.8616516773 0.0320826576 0.1906039007 -0.4302208911
2.0200000000 -0.9464913493 -0.3885451225 0.8481092205 0.0058465336 0.1712307633 -0.4349866353
2.0300000000 -0.9726452555 -0.3994990186 0.8241128949 -0.0250130283 0.1808314805 -0.4140552218
2.0400000000 -0.9699031417 -0.3906020428 0.8014293005 -0.0537296877 0.1780958076 -0.4066751750
2.0500000000 -0.9412241104 -0.3678999146 0.7707618821 -0.0848756477 0.1580750416 -0.4169013450
2.0600000000 -0.9370224656 -0.3617771311 0.7010686500 -0.1273674645 0.0819578694 -0.4798822923
2.0700000000 -0.9581777318 -0.3682593319 0.6446702312 -0.1602344478 0.0424442005 -0.5032003906
2.0800000000 -0.9539882277 -0.3571371388 0.6116835684 -0.1840492699 0.0375040159 -0.4925900706
2.0900000000 -0.9289584404 -0.3356496457 0.5703190933 -0.2095251139 -0.0647990977 -0.5743743941
2.1000000000 -0.9253538180 -0.3288419716 0.5548387175 -0.2227234522 -0.2461201447 -0.7246594742
2.1100000000 -0.9284273839 -0.3246124081 0.5695890560 -0.2244852063 -0.3896455839 -0.8281913974
2.1200000000 -0.9059294190 -0.3052368667 0.5793644560 -0.2267522207 -0.4974970537 -0.8905535965
2.1300000000 -0.8800642575 -0.2866587150 0.6016307952 -0.2207046488 -0.6400766648 -0.9802952878
2.1400000000 -0.8304115796 -0.2545516141 0.6864308003 -0.1894236961 -0.8244595848 -1.1024257414
2.1500000000 -0.7607016844 -0.2147368462 0.7586094809 -0.1641188648 -0.9690648543 -1.1770060230
2.1600000000 -0.7013203745 -0.1830557893 0.7769032513 -0.1522721042 -1.0128263065 -1.1499419134
2.1700000000 -0.6631353175 -0.1647229449 0.8309449660 -0.1208346568 -1.0555896552 -1.1229509299
2.1800000000 -0.6520873634 -0.1605210475 0.9210547308 -0.0755666020 -1.1247196861 -1.1213028567
2.1900000000 -0.6406068537 -0.1539060353 0.9381931223 -0.0563818396 -1.1809010221 -1.1074286943
2.2000000000 -0.6155854036 -0.1394625310 0.8719134410 -0.0593372606 -1.1687185806 -1.0292497309
2.2100000000 -0.5841676653 -0.1233596608 0.8091370084 -0.0543667883 -1.1412069354 -0.9430597060
2.2200000000 -0.5652827120 -0.1168700634 0.7516721872 -0.0470872491 -1.1106135120 -0.8594944557
2.2300000000 -0.5466834522 -0.1108206529 0.6536994810 -0.0552757514 -1.0540699915 -0.7587904572
2.2400000000 -0.5345689767 -0.1105490992 0.5775531508 -0.0539426202 -1.0202096170 -0.6875624490
2.2500000000 -0.5365657720 -0.1188614847 0.5093172451 -0.0552615979 -0.9246740094 -0.5639304620
2.2600000000 -0.5461083066 -0.1322196195 0.4447099353 -0.0565720346 -0.8686982076 -0.4892047223
2.2700000000 -0.5423985399 -0.1376768623 0.4094968817 -0.0524390996 -0.8611325953 -0.4660582991
2.2800000000 -0.5291752752 -0.1406326804 0.3856199216 -0.0478358799 -0.7983509119 -0.3947309506
2.2900000000 -0.5247926810 -0.1505481455 0.4266973510 -0.0238171986 -0.7276783175 -0.3224164493
2.3000000000 -0.4981637808 -0.1479990314 0.4757431797 -0.0044195586 -0.7112804069 -0.3082248095
2.3100000000 -0.4641806635 -0.1443462319 0.4662319484 -0.0077410128 -0.6754298147 -0.2769378753
2.3200000000 -0.4323182969 -0.1427584912 0.4540034882 -0.0095284685 -0.5355746348 -0.1504572344
2.3300000000 -0.3833141559 -0.1316343234 0.4918705034 0.0058891033 -0.3767080483 -0.0150108753
2.3400000000 -0.3422233836 -0.1266169110 0.5364650475 0.0192328997 -0.2309281217 0.0990961602
2.3500000000 -0.2990566030 -0.1187545067 0.5516458258 0.0210101558 -0.1578011476 0.1357151321
2.3600000000 -0.2437393589 -0.1036601642 0.6086859089 0.0392162823 -0.1794724519 0.0798536608
2.3700000000 -0.2085578734 -0.1002462572 0.7165701917 0.0716242203 -0.2721018082 -0.0406502300
2.3800000000 -0.1809140345 -0.0982570724 0.8065553921 0.0943517475 -0.3857530780 -0.1729057824
2.3900000000 -0.1513178668 -0.0934460580 0.8982668736 0.1189840938 -0.4239834269 -0.2244555920
2.4000000000 -0.1481218302 -0.1029631568 0.9783832027 0.1386707848 -0.4428348245 -0.2535713277
2.4100000000 -0.1679257181 -0.1225184112 0.9928898073 0.1366804240 -0.4769993308 -0.2931329668
2.4200000000 -0.2059964778 -0.1501228533 1.0050531974 0.1389525779 -0.5407261906 -0.3568577867
2.4300000000 -0.2494584677 -0.1778750312 1.0423111646 0.1496167091 -0.6328755678 -0.4412512728
2.4400000000 -0.2632662034 -0.1872530510 1.0961158842 0.1650474576 -0.6659778947 -0.4623034349
2.4500000000 -0.2521256879 -0.1846877867 1.1329281793 0.1712062567 -0.7296932269 -0.5103617964
2.4600000000 -0.2337735033 -0.1806997335 1.1286551248 0.1636743985 -0.8553051448 -0.6117205857
2.4700000000 -0.2190121848 -0.1805083011 1.1129269625 0.1532605353 -0.9386733812 -0.6653105197
2.4800000000 -0.2007338996 -0.1779034815 1.0839916195 0.1382134100 -0.9994471798 -0.6932462493
2.4900000000 -0.1934795633 -0.1822535891 1.0280252671 0.1130116871 -1.0293378985 -0.6887090616
2.5000000000 -0.1805886278 -0.1807866905 0.9722520608 0.0887404012 -1.0083175780 -0.6356728687
2.5100000000 -0.1579333876 -0.1740923612 0.9596711643 0.0781176283 -0.9950424644 -0.5932613050
2.5200000000 -0.1746208071 -0.1903405509 0.9699940157 0.0712061198 -0.9946736790 -0.5656666196
2.5300000000 -0.2018883248 -0.2084258498 1.0020908485 0.0695909219 -0.9060644232 -0.4561907579
2.5400000000 -0.1925358586 -0.2030588220 1.0766464800 0.0805507927 -0.7612594567 -0.3020956207
2.5500000000 -0.1662868417 -0.1901784352 1.1580081437 0.0908072911 -0.7081939171 -0.2463327988
2.5600000000 -0.1660822992 -0.1943738359 1.2368503919 0.1007227582 -0.8195043337 -0.3520257351
2.5700000000 -0.2006096529 -0.2170375995 1.3119026124 0.1100008900 -1.0281633537 -0.5448098322
2.5800000000 -0.2213107889 -0.2276319602 1.3201089514 0.0970876358 -1.2011343148 -0.6930410014
2.5900000000 -0.2082838379 -0.2191334693 1.2628856197 0.0674423434 -1.3052751656 -0.7676410956
2.6000000000 -0.1802330245 -0.2042889253 1.1588949897 0.0262138244 -1.3423725239 -0.7739123466
