x y z
0.737378343 0.264887524 6
0.657633156 0.234821987 6
0.658931828 0.217264488 6
0.743580127 0.268723062 6
0.726311815 0.26429218 6
0.635005302 0.273618011 6
0.660561685 0.275624405 6
0.749179986 0.288235096 6
0.744669038 0.250612365 6
0.661589986 0.26044287 6
0.675049508 0.265782037 6
0.747784376 0.304277202 6
0.716297325 0.249411456 6
0.636213957 0.221877291 6
0.685538376 0.261602086 6
0.767547462 0.302441884 6
0.729713708 0.250245917 6
0.645406346 0.246897545 6
0.663609552 0.218222842 6
0.742917647 0.270945949 6
0.719164508 0.262776532 6
0.631951027 0.252384937 6
0.650153233 0.225953477 6
0.737852802 0.272637208 6
0.727092717 0.271294603 6
0.629439106 0.248618477 6
0.642369092 0.267006592 6
0.736928477 0.281955534 6
0.712518079 0.24377358 6
0.6437538 0.2689842 6
0.677945628 0.261664079 6
0.739051456 0.234175849 6
0.734012675 0.268686661 6
0.648395957 0.267266535 6
0.664084595 0.248119268 6
0.738445516 0.246643348 6
0.724507208 0.260225035 6
0.650848732 0.252537473 6
0.673709646 0.266326574 6
0.759998235 0.319044538 6
0.736000997 0.294141635 6
0.635539494 0.236074507 6
0.657709521 0.258170153 6
0.739518576 0.260525708 6
0.727913835 0.267298898 6
0.648862927 0.240054027 6
0.66692633 0.246950493 6
0.738306094 0.243936861 6
0.738287759 0.268397552 6
0.646057274 0.261982259 6
0.667830341 0.262989179 6
0.740663163 0.281979037 6
0.722076584 0.233381056 6
0.651643199 0.258537997 6
0.687239924 0.27692647 6
0.750436354 0.269735025 6
0.692387823 0.269480675 6
0.696859751 0.28056574 6
0.760442968 0.243965725 6
0.736076303 0.235164002 6
0.664971202 0.254891693 6
0.686839449 0.256336618 6
0.763423439 0.248708566 6
0.733286354 0.258406228 6
0.676409966 0.244347498 6
0.694087022 0.248671861 6
0.747846867 0.216505376 6
0.740973195 0.215720589 6
0.681781593 0.230408586 6
0.681718171 0.227857804 6
0.751915729 0.250071954 6
0.731535886 0.274900778 6
0.67664308 0.28964082 6
0.692231242 0.266436101 6
0.736077757 0.210263522 6
0.722545769 0.226496561 6
0.683821951 0.251134406 6
0.696063649 0.261830063 6
0.755707046 0.261120969 6
0.74574349 0.243899652 6
0.692718593 0.246299241 6
0.696185953 0.239399015 6
0.752849767 0.242766945 6
0.739230668 0.253884978 6
0.680074312 0.29882174 6
0.698415779 0.310051336 6
0.766077686 0.29096616 6
0.761489481 0.288876482 6
0.69838108 0.276218108 6
0.699257998 0.265006918 6
0.759175525 0.26360716 6
0.7286467 0.241846952 6
0.680676986 0.250862118 6
0.708743022 0.262902621 6
0.771476919 0.273612227 6
0.749117771 0.265499956 6
0.693476354 0.290266993 6
0.698958661 0.271750997 6
0.756817241 0.236798679 6
0.738144647 0.275204854 6
0.678789633 0.286863522 6
0.685503707 0.263334826 6
0.748328634 0.231392194 6
0.737071724 0.24577848 6
0.66679886 0.257578542 6
0.674637538 0.273258173 6
0.751663848 0.246401621 6
0.733818051 0.257081799 6
0.686987818 0.315776021 6
0.708019315 0.289271755 6
0.751377491 0.204102039 6
0.7472068 0.263281158 6
0.685976518 0.280721191 6
0.702245306 0.281313028 6
0.755256824 0.240199164 6
0.733485719 0.255680647 6
0.690218723 0.288410535 6
0.699499495 0.275537664 6
0.771433623 0.29556712 6
0.750627777 0.283455298 6
0.678158233 0.269320902 6
0.69243056 0.273272973 6
0.75352115 0.238305649 6
0.743326002 0.27408164 6
0.691328443 0.297641744 6
0.699660973 0.279035048 6
0.752898369 0.224777721 6
0.751593088 0.273899851 6
0.689234026 0.281726891 6
0.705689783 0.299079107 6
0.754286103 0.281089275 6
0.728454515 0.233844155 6
0.691767428 0.272426613 6
0.718129333 0.297070341 6
0.760075292 0.233845202 6
0.713035885 0.269654795 6
0.711112079 0.256767701 6
0.760555528 0.23155452 6
0.740894545 0.22481978 6
0.691448986 0.269412781 6
0.717235632 0.292289589 6
0.75157829 0.214442626 6
0.735635933 0.220036313 6
0.698252428 0.245701841 6
0.716127675 0.256187433 6
0.745049435 0.20040043 6
0.743602102 0.21841117 6
0.707346414 0.257519219 6
0.712294283 0.259666532 6
0.749820903 0.216643652 6
0.737383986 0.285448937 6
0.703980165 0.302064827 6
0.725161345 0.289969704 6
0.734230309 0.177067441 6
0.729653161 0.207660751 6
0.705325978 0.260922038 6
0.720699436 0.255768958 6
0.753919634 0.221873659 6
0.739071105 0.224617381 6
0.70864744 0.261537841 6
0.712469198 0.228522806 6
0.755201169 0.19422239 6
0.742880246 0.243823893 6
0.699709891 0.302334225 6
0.717508687 0.302306033 6
0.773788108 0.25644777 6
0.76100374 0.258925234 6
0.715528133 0.291148855 6
0.731897177 0.30488675 6
0.756202599 0.208282413 6
0.735106886 0.244731026 6
0.697691861 0.253648361 6
0.726758765 0.255543986 6
