x1 y1 y2 y3 y4 y5
2.0050000000 -2.3189192840 1.0757984444 0.9080611489 0.0454589335 -0.0000320890
2.0100000000 -0.9650931851 0.8698884369 0.7674733378 0.0394568151 -0.0119425438
2.0150000000 0.7718338091 0.7939571798 0.8017452187 0.0183734181 -0.0225063082
2.0200000000 2.3263365207 0.7183432673 0.9173266903 -0.0097227591 -0.0324438628
2.0250000000 3.5648354539 0.6534203434 0.8037158243 -0.0152523043 -0.0246435552
2.0300000000 4.6623950642 0.5816970719 0.7128617213 -0.0155270289 -0.0157323251
2.0350000000 4.2702464031 0.4555034722 0.7077293996 0.0019108356 -0.0034340406
2.0400000000 3.8203621992 0.4780757925 0.8038068704 0.0146543419 0.0051332674
2.0450000000 2.4944137999 1.1274543212 0.9797982277 0.0236912463 0.0107546466
2.0500000000 1.1531616297 1.7768328499 1.0643689317 0.0282167737 0.0196538755
2.0550000000 -0.3302137991 1.5676872233 1.0187838458 0.0263194435 0.0332197865
2.0600000000 -1.4034997612 1.3006261100 1.0578088369 0.0079643493 0.0266764835
2.0650000000 -1.0280638828 1.4128546282 1.0590500517 -0.0058283598 0.0167654290
2.0700000000 -0.4807577036 1.4218555240 0.9914222316 -0.0095023434 0.0087030743
2.0750000000 0.3007708870 0.9721935402 0.9093782578 -0.0036146181 0.0039296281
2.0800000000 1.0859984324 0.5225315564 0.8488353386 0.0016142142 0.0001051178
2.0850000000 1.8840854044 0.7023284752 0.9076331955 0.0012990038 0.0007355386
2.0900000000 2.5779944016 0.9108157339 0.9521048887 0.0019964053 0.0028443463
2.0950000000 1.8835886967 1.0299027699 0.9451870973 0.0063261543 0.0102562861
2.1000000000 1.1891829919 1.1192254917 0.9432135413 0.0099889006 0.0163491704
2.1050000000 0.9624491358 1.2408271380 0.9723878004 0.0094496463 0.0141322368
2.1100000000 0.8714527259 1.3168799334 1.0015620596 0.0089103920 0.0119153033
2.1150000000 0.9096001066 1.1096641782 1.0434388475 0.0029551133 0.0113722542
2.1200000000 1.0794261664 1.0001176055 1.0942087155 -0.0067919411 0.0120010968
2.1250000000 1.8040089208 1.1224199316 1.0699027135 -0.0126461199 0.0124700078
2.1300000000 2.1649300811 1.2042651279 1.0082065952 -0.0158955372 0.0129043025
2.1350000000 1.9146264247 0.8699218633 1.0341922176 -0.0085757791 0.0145475166
2.1400000000 1.5931872653 0.5797273426 1.0601778399 -0.0012560211 0.0161907306
2.1450000000 1.1949302513 0.6764124883 1.0046433241 0.0059801732 0.0108720570
2.1500000000 0.7966732373 0.7730976339 0.9489102350 0.0132161639 0.0055364251
