x y1 y2
2.2600000000 0.3658784486 -0.2502214410
2.2700000000 0.4245407357 -0.2115383181
2.2800000000 0.5374806582 -0.1232583239
2.2900000000 0.6560400536 -0.0337951078
2.3000000000 0.7192354727 -0.0036574581
2.3100000000 0.8029547594 0.0443297554
2.3200000000 0.9866048384 0.1899684185
2.3300000000 1.1823000542 0.3446075792
2.3400000000 1.3593786869 0.4771199359
2.3500000000 1.4602569998 0.5300855707
2.3600000000 1.4682646628 0.4884667228
2.3700000000 1.4096167509 0.3810850224
2.3800000000 1.3356418887 0.2622811489
2.3900000000 1.3387427356 0.2265896980
2.4000000000 1.3583434844 0.2139026321
2.4100000000 1.3603619413 0.1902954827
2.4200000000 1.3305308819 0.1416054038
2.4300000000 1.2720068175 0.0714199390
2.4400000000 1.2705686937 0.0657104707
2.4500000000 1.2342723803 0.0317329854
2.4600000000 1.1363124532 -0.0573444620
2.4700000000 1.0800893666 -0.0979151894
2.4800000000 1.0435031451 -0.1127569646
2.4900000000 1.0344384619 -0.0949852416
2.5000000000 1.0707139433 -0.0283223784
2.5100000000 1.0935315946 0.0265913883
2.5200000000 1.0999657351 0.0655736406
2.5300000000 1.1902140042 0.1877259066
2.5400000000 1.3280876195 0.3547036213
2.5500000000 1.3689904385 0.4201602323
2.5600000000 1.2483404077 0.3199916763
2.5700000000 1.0402048878 0.1310737255
2.5800000000 0.8766529692 -0.0114358660
2.5900000000 0.7857035420 -0.0779363985
2.6000000000 0.7614529170 -0.0742335530
2.6100000000 0.7907108759 -0.0145594695
2.6200000000 0.8767407588 0.1026524823
2.6300000000 0.9650368078 0.2207453101
2.6400000000 1.0864277604 0.3689208740
2.6500000000 1.2626085226 0.5669201151
2.6600000000 1.4447415822 0.7639934222
2.6700000000 1.6351425698 0.9610460983
2.6800000000 1.8991611935 1.2223656339
2.6900000000 2.1568444400 1.4664472056
2.7000000000 2.3319824969 1.6168764275
2.7100000000 2.4971881116 1.7474377831
2.7200000000 2.5943550035 1.8016486293
2.7300000000 2.5474757799 1.7064861606
2.7400000000 2.3657454336 1.4759194219
2.7500000000 2.1299455951 1.1963676114
2.7600000000 1.9492953464 0.9818091817
2.7700000000 1.7815975795 0.7926813547
2.7800000000 1.6519699401 0.6556873148
2.7900000000 1.6014627657 0.6117144994
2.8000000000 1.5793220439 0.6084418971
2.8100000000 1.5754622925 0.6336420323
2.8200000000 1.5552238903 0.6504054521
2.8300000000 1.5193627437 0.6576619008
2.8400000000 1.4932463131 0.6792124081
2.8500000000 1.4512905828 0.6879418024
2.8600000000 1.3968864246 0.6861893256
2.8700000000 1.3281381345 0.6712481591
2.8800000000 1.3297600913 0.7272016971
2.8900000000 1.4208222458 0.8712373008
2.9000000000 1.4866183431 0.9863248332
2.9100000000 1.4855261293 1.0296426315
2.9200000000 1.4257633485 1.0096274521
2.9300000000 1.3555462185 0.9755508792
2.9400000000 1.2869863543 0.9405650962
2.9500000000 1.2148316675 0.9003587153
2.9600000000 1.1794553195 0.8960407227
2.9700000000 1.1743540371 0.9211202706
2.9800000000 1.2041923790 0.9799062408
2.9900000000 1.2469865376 1.0496151159
3.0000000000 1.2732429007 1.1001834246
3.0100000000 1.2830647945 1.1315382194
3.0200000000 1.2963874041 1.1638170119
3.0300000000 1.3356780507 1.2195427229
3.0400000000 1.3697026736 1.2673423581
3.0500000000 1.3880726928 1.2969456698
3.0600000000 1.3638715055 1.2819138449
3.0700000000 1.2727427441 1.1991090748
3.0800000000 1.1809479118 1.1166180032
3.0900000000 1.1435952346 1.0907127598
3.1000000000 1.1614907091 1.1222375099
3.1100000000 1.2270683075 1.2027498784
3.1200000000 1.2641104405 1.2547740521
3.1300000000 1.2613630902 1.2666286122
3.1400000000 1.2582409586 1.2777808395
3.1500000000 1.2009852669 1.2346828296
3.1600000000 1.1083539856 1.1571149841
3.1700000000 0.9763746782 1.0422897343
3.1800000000 0.8808939324 0.9674439630
3.1900000000 0.8790064356 0.9896723616
3.2000000000 0.9008553110 1.0379001731
3.2100000000 0.9109110833 1.0752622028
3.2200000000 0.8811843167 1.0729584408
3.2300000000 0.8763669202 1.0954439825
3.2400000000 0.8851177137 1.1307028900
3.2500000000 0.8707635238 1.1415800955
3.2600000000 0.8495181547 1.1441726506
3.2700000000 0.8264954352 1.1436589155
3.2800000000 0.8150588929 1.1534478454
3.2900000000 0.7660744539 1.1244333160
3.3000000000 0.6768837288 1.0546771053
3.3100000000 0.6388579895 1.0364157898
3.3200000000 0.6679876653 1.0853961706
3.3300000000 0.6907069110 1.1270916935
3.3400000000 0.6748734123 1.1288686909
3.3500000000 0.7030542322 1.1732880012
3.3600000000 0.7306161345 1.2150513822
3.3700000000 0.6700611326 1.1666645910
3.3800000000 0.5898078733 1.0977069977
3.3900000000 0.5526766593 1.0719875281
3.4000000000 0.5038278085 1.0349047511
3.4100000000 0.4671507522 1.0107708144
3.4200000000 0.4973308637 1.0540566197
3.4300000000 0.4809241151 1.0504656499
